Year,FRACPIALLAINMEI
1950,5.692595100255843
1951,6.654643672199081
1952,7.439891625518572
1953,7.350612926012349
1954,7.321210474308300
1955,7.409064999999999
1956,7.549639000000000
1957,7.780481000000000
1958,8.967824000000000
1959,9.489326000000000
1960,9.882178000000000
1961,10.119400000000001
1962,10.658890000000000
1963,11.191739999999999
1964,11.551130000000001
1965,11.863370000000000
1966,12.172060000000000
1967,12.511870000000000
1968,13.080310000000001
1969,13.871140000000000
1970,14.606270000000000
1971,15.394640000000001
1972,16.328020000000002
1973,17.533120000000000
1974,19.926279999999998
1975,22.254840000000002
1976,24.396979999999999
1977,26.713370000000001
1978,29.184509999999996
1979,32.291699999999999
1980,36.671289999999999
1981,41.553849999999997
1982,46.531370000000003
1983,50.933030000000002
1984,54.841530000000006
1985,58.039389999999997
1986,59.512740000000001
1987,61.470050000000001
1988,63.130249999999997
1989,65.338729999999998
1990,67.425830000000005
1991,69.592500000000001
1992,71.237499999999997
1993,72.736660000000001
1994,73.940830000000005
1995,75.269169999999988
1996,76.761669999999995
1997,77.685839999999999
1998,78.191670000000002
1999,78.611660000000001
2000,79.929169999999999
2001,81.235830000000007
2002,82.798330000000007
2003,84.535840000000022
2004,86.346660000000000
2005,87.854159999999993
2006,89.325839999999999
2007,90.655000000000001
2008,93.204999999999998
2009,93.286670000000001
2010,94.715000000000003
2011,96.715000000000003
2012,98.605000000000004
2013,99.456670000000003
2014,99.961669999999998
2015,99.999170000000007
2016,100.182500000000005
2017,101.216700000000003
2018,103.090000000000003
2019,104.232500000000002
2020,104.729200000000006
2021,106.449200000000005
2022,112.008300000000006
2023,117.472499999999997
2024,119.820800000000006
2025,121
